seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
111,Carolyn,Goodman,65,Icpim Parkway,Ujalersa,KS,07991,$4893.69,YELLOW,02/02/1976
112,Brian,Gomez,64,Wudzo Trail,Wakhukbo,CA,66586,$4478.03,RED,10/13/1913
113,Mina,Gregory,57,Wesho Square,Lagwewuvu,WI,45045,$6222.92,RED,09/19/1911
114,Barbara,Moore,29,Rebho Place,Abusacne,MT,40994,$825.98,GREEN,05/16/2005
115,Estelle,Willis,40,Vupa Glen,Fodibon,KS,86180,$7502.73,YELLOW,06/21/1963
116,Erik,Santiago,23,Sivi Park,Cuwsiwka,UT,14817,$2657.28,YELLOW,02/22/1949
117,Richard,Atkins,18,Renla Path,Bowtirulu,MI,02983,$8218.84,WHITE,01/14/1907
118,Dale,Higgins,25,Kicha Key,Bakpoka,CT,97115,$6125.75,GREEN,11/03/2064
119,Cecilia,Malone,18,Hehtej Key,Rorowa,KS,42740,$2885.07,RED,12/19/1992
120,Luke,Hayes,50,Mizhow Key,Gunzejov,VA,54818,$4679.71,GREEN,02/24/1989
121,Glen,Obrien,56,Kagut Heights,Paprargub,NC,23983,$7272.50,YELLOW,05/29/2026
122,Jim,Ball,35,Bokpu Boulevard,Wuhrozi,DE,22149,$8903.74,WHITE,11/18/1907
123,Ann,Powell,46,Pazun Glen,Jewbuba,WI,23845,$3220.67,WHITE,10/14/2028
124,Josephine,Ward,63,Jifu Avenue,Lilpajep,AK,08448,$698.21,YELLOW,01/17/1917
125,Philip,Singleton,60,Cumi Highway,Kilnicuc,WY,78940,$3925.34,RED,08/16/2030
126,Adam,Higgins,25,Ahuguh Path,Vousco,CA,44786,$9435.29,GREEN,07/20/1922
127,Derrick,Powell,46,Hagbas Road,Wevpofmif,CO,71962,$8844.04,YELLOW,12/03/1957
128,Katie,Burns,47,Duere Parkway,Wobtajkal,DC,16061,$5684.11,RED,02/23/1965
129,Douglas,Reynolds,34,Gotime Road,Subopnak,MI,47036,$6727.77,BLUE,04/15/1909
130,Mark,Matthews,30,Ajne Court,Hekcofe,AZ,48837,$5307.36,BLUE,07/06/2057
131,Ora,Harmon,32,Navaf Parkway,Tonutanok,IN,09301,$8001.88,GREEN,10/29/1982
132,Mittie,Boyd,21,Dugfo River,Rofobi,AZ,60953,$1134.21,WHITE,02/08/1984
133,Ola,Watkins,43,Sufew Boulevard,Umcujvi,DC,44066,$1599.32,YELLOW,03/02/2034
134,Christian,Dean,58,Murmu View,Wertukzus,CT,14611,$9469.71,BLUE,11/27/1907
135,Florence,Ramsey,31,Cufma Extension,Fimukji,OH,28447,$3053.97,GREEN,01/25/2044
136,Gregory,Tate,63,Nesa Loop,Uzesotic,RI,26037,$1292.07,YELLOW,02/17/1925
137,William,Morton,21,Mejcus Trail,Kutbeolo,NM,93484,$7656.04,YELLOW,12/13/2067
138,Winifred,Jackson,59,Fivaz Point,Guawak,SD,04969,$6196.43,BLUE,06/01/2025
139,Mable,McCarthy,18,Zujti Avenue,Fulubna,MD,68931,$287.09,BLUE,06/16/1904
140,Tyler,Thornton,24,Gijed Grove,Gainaari,MN,47291,$4562.01,GREEN,03/26/1998
141,Eliza,Chambers,51,Dusha Center,Vulnuna,AR,68628,$3799.34,YELLOW,03/29/1969
142,Eugene,Roberts,54,Jigwut Loop,Sofuzohe,NJ,13051,$879.81,YELLOW,05/15/2059
143,Brett,Barrett,45,Awezir Mill,Odeinoata,GA,64337,$7207.50,YELLOW,07/17/1909
144,Myrtie,Nguyen,42,Ikaazi Square,Akaliggi,SC,09278,$3925.05,WHITE,01/25/1938
145,Viola,Buchanan,50,Wihot Junction,Jucigtuj,NJ,43809,$1098.21,YELLOW,03/27/1911
146,Jerry,Warner,38,Puvsam Manor,Neciba,AK,33143,$3059.93,RED,02/24/2000
147,Alma,Reed,48,Hoggor Drive,Punhesru,AZ,34901,$8949.10,RED,10/23/1989
148,Tommy,Leonard,60,Wicop View,Wevloza,TN,93984,$7784.79,WHITE,10/12/2003
149,Cynthia,Maxwell,25,Rihor Grove,Arjecu,IL,23992,$549.40,BLUE,10/21/2010
150,Mollie,Powers,43,Canfa Avenue,Nazegge,MO,55375,$7369.45,WHITE,11/25/1959
151,Willie,Houston,50,Recko Square,Wojorzek,DC,65139,$8554.09,GREEN,06/03/1959
152,Maggie,Blair,50,Jirbu Point,Ceplali,AK,11886,$7824.08,WHITE,06/20/1928
153,Charlie,Boyd,30,Varlad Lane,Babejeeze,PA,74490,$5807.06,GREEN,08/09/2040
154,Herman,Myers,52,Daeg Court,Noksinas,IA,05628,$4532.77,WHITE,10/13/1968
155,Juan,Lee,49,Uhsud Point,Roonazuz,WI,28430,$3702.72,GREEN,03/19/2070
156,Harold,Simmons,60,Bivaf Point,Zoweor,KY,68494,$400.02,YELLOW,05/26/1932
157,Jeffery,Maldonado,65,Suhon Glen,Sovsugpiv,WI,88170,$4370.33,YELLOW,12/15/1998
158,Alexander,Foster,47,Jacco River,Ecamaak,OH,44432,$6366.16,RED,07/01/2067
159,Belle,Farmer,55,Sejka Court,Wetocatih,TX,24771,$5113.20,GREEN,03/02/2014
160,Warren,Hart,64,Wugni Terrace,Sacidgi,ND,27215,$681.63,RED,09/29/1982
161,Celia,Rodriguez,23,Ehet Boulevard,Licpavsuk,WI,08806,$3995.08,WHITE,04/13/2009
162,Isaac,Rice,33,Nojeb Park,Ajpepmi,LA,45473,$7191.06,GREEN,08/13/1966
163,Bessie,Hughes,25,Mezu Heights,Tasahze,IL,55552,$8849.14,GREEN,09/22/1911
164,Joshua,Lucas,48,Ukgi Boulevard,Homlarwa,NV,63881,$4319.93,RED,10/28/1975
165,Ronald,West,60,Rovus Point,Hisluon,CA,71987,$4251.86,WHITE,07/07/1995
166,Lillian,Vaughn,31,Zatod Key,Zibeborow,IN,82526,$8607.52,WHITE,04/14/2007
167,Kate,Copeland,27,Wuflo Street,Ucufiki,WI,55717,$28.74,GREEN,04/12/1916
168,Essie,Hughes,60,Ezuti Drive,Inohodko,IA,25000,$7192.40,YELLOW,12/25/2062
169,Winifred,Payne,56,Ateku Parkway,Uflonuk,UT,27436,$6368.53,RED,01/23/1920
170,Carolyn,Hamilton,59,Edeli Place,Rozebpa,MA,69369,$9674.54,BLUE,11/28/1907
171,Owen,Grant,25,Vaal Point,Nufimaz,FL,17641,$6961.20,BLUE,04/27/2001
172,Tony,Gill,38,Kiszo Street,Avuluhma,NY,46210,$384.27,BLUE,01/19/2013
173,Ina,Diaz,43,Gilo Highway,Esuopuse,NE,50917,$2054.79,YELLOW,11/26/2038
174,Anthony,Ruiz,59,Gahhaz Place,Kizostom,NM,19562,$1001.72,GREEN,07/19/1993
175,Callie,Mills,47,Keffot Street,Kifwaehe,MD,84243,$4357.75,YELLOW,04/30/2052
176,Paul,Fletcher,51,Tucbe Manor,Nirbedo,OK,33192,$5180.49,YELLOW,03/10/1989
177,Harold,Fuller,51,Tatab Loop,Iwguhdak,KY,39123,$7225.44,RED,11/03/1968
178,Bradley,Sharp,23,Seku Parkway,Pedofo,ME,23075,$2543.33,BLUE,05/05/1970
179,Myrtle,Castro,46,Vonhi Park,Gubathu,NV,90266,$2696.64,GREEN,12/07/1961
180,Lawrence,Gibson,57,Otounu Trail,Lavviek,AL,99854,$9728.19,YELLOW,01/06/2024
181,Janie,Day,65,Kukvi Lane,Wiwopuhu,MO,27052,$4021.74,YELLOW,12/03/2050
182,Bryan,Pena,43,Ciuc Parkway,Dohpillup,UT,43598,$3126.80,BLUE,03/29/2015
183,Ivan,Davidson,39,Zoco Pass,Jalnuhnik,SD,37192,$5365.35,RED,10/19/1997
184,Edward,Brady,23,Ilug Ridge,Volofat,WV,82369,$4896.32,GREEN,04/18/2067
185,John,Chandler,21,Roci Manor,Ahowaeme,NV,99932,$7740.69,GREEN,08/23/2025
186,Maude,Carlson,53,Rorleb Terrace,Nedenmok,WA,39521,$253.87,RED,02/14/1984
187,Harriet,Hall,55,Fimap Heights,Utnumi,VA,13898,$7805.20,WHITE,03/04/1953
188,Rosetta,Hunt,42,Ukde Circle,Sikorlu,NV,21926,$9885.00,WHITE,08/13/1921
189,Lida,Thompson,51,Gamdun River,Kakurake,LA,52160,$8511.60,WHITE,12/28/1989
190,Alberta,Becker,45,Cazpak Turnpike,Gezcehih,OR,57369,$8398.75,GREEN,01/06/1908
191,Eula,Perkins,38,Vatmo Parkway,Hebwupvi,HI,54072,$5977.25,WHITE,12/07/2052
192,Alex,Perez,29,Zatob Mill,Tabluih,UT,19932,$6900.39,WHITE,10/27/2052
193,Janie,Luna,49,Gaic Court,Namsepdac,WI,69315,$5847.82,RED,07/30/1976
194,Bobby,Cooper,51,Tera Center,Dipajca,WA,64692,$4528.12,RED,08/30/2021
195,Francis,Higgins,60,Jewu Grove,Dorbuil,MO,44809,$9741.00,BLUE,07/08/1931
196,Brandon,Murphy,43,Anita Trail,Usiwpej,NY,46955,$8751.05,GREEN,03/26/1965
197,Daisy,Collins,36,Nivo Glen,Saticokig,FL,70167,$1508.43,RED,04/11/1986
198,Lola,Parker,31,Ipso Drive,Mabholpo,ND,21435,$9130.83,WHITE,10/29/2008
199,Edith,Phillips,45,Kebfeb Grove,Fomepjom,MS,43473,$7645.15,BLUE,04/08/1979
200,Eunice,Wallace,60,Defoz Square,Balowhom,VT,31363,$7861.45,BLUE,07/01/1986
201,Abbie,Roberson,54,Aglub View,Mukojna,NJ,37011,$93.09,WHITE,12/29/2035
202,Charles,Elliott,35,Bebaf Boulevard,Senegez,NY,99205,$764.39,WHITE,04/06/1938
203,Louise,Patton,41,Eroga Avenue,Bokaru,CO,53821,$2119.96,YELLOW,04/21/1924
204,Eliza,Rodriguez,43,Ukosuw Plaza,Siceme,AK,25533,$9426.52,WHITE,06/06/1994
205,Earl,Higgins,42,Hemu Way,Deemamif,AZ,36138,$4527.51,YELLOW,01/28/2021
206,Harriet,Ramsey,55,Muaw Pike,Zivuaju,HI,79463,$4880.05,YELLOW,12/17/2060
207,Leona,Lamb,47,Wefan Heights,Lapegen,AK,30355,$9303.95,WHITE,09/10/1951
208,Cody,Fletcher,41,Docil Parkway,Epotuheh,MI,81532,$9476.32,WHITE,04/09/2018
209,Randall,Robbins,21,Zuwic Highway,Iwogavpom,NM,00703,$7345.99,YELLOW,04/29/1973
210,Estella,McDaniel,52,Memuz Glen,Pimgebke,NM,45708,$9790.13,GREEN,03/08/1985
211,Louisa,Rivera,31,Uvaan Loop,Belezir,NJ,18637,$1059.83,RED,08/04/2023
212,Zachary,Atkins,43,Adtib Way,Jihapras,NC,46391,$4265.16,GREEN,10/04/1970
213,Beatrice,Hines,20,Onumur Circle,Mesvituv,TX,57983,$4148.90,WHITE,08/09/2007
214,Jacob,Gill,42,Ijubu Lane,Zujolo,IL,13830,$5116.98,YELLOW,04/16/1928
215,Hettie,Rodriquez,30,Pofivi Avenue,Sogimuze,MN,79399,$5215.43,BLUE,09/03/1994
216,Emily,Bryan,44,Asfem Junction,Doviflu,MN,72005,$1759.99,RED,06/16/1999
217,Winifred,Collier,25,Solwa Terrace,Dobkueze,MI,79759,$7921.28,GREEN,06/12/2048
218,Effie,McDonald,18,Eppaz Highway,Kusedemu,IN,30823,$3989.45,RED,07/18/2053
219,Ora,Welch,42,Mikij Turnpike,Musiwha,KS,53676,$2442.39,RED,04/06/1919
220,Alex,Bowen,56,Epiot Terrace,Ogpaca,AK,15888,$4868.67,GREEN,11/09/2017
221,Maud,Bowen,34,Neznar Loop,Ejfejhow,WV,56856,$3572.03,WHITE,12/14/1949
222,Sam,Fernandez,19,Igikaz Manor,Limnistoh,NE,22922,$7858.66,GREEN,11/12/1957
223,Jeffrey,Mann,32,Pecob Trail,Vezwidto,AZ,17402,$5199.40,WHITE,06/08/2014
224,Bill,Douglas,52,Idniw Avenue,Acivpiw,HI,22105,$4647.17,RED,02/11/1908
225,Paul,Tate,19,Imco Plaza,Wifepkas,NV,20063,$2794.10,YELLOW,10/30/1987
226,Bryan,Mullins,46,Ladluk Place,Mevlepka,CT,86099,$9599.99,BLUE,12/13/2008
227,Wesley,McKinney,22,Islel Road,Pufula,TX,63594,$9802.94,WHITE,05/13/1913
228,Devin,Rose,49,Dicsid Place,Ibmifi,MD,88669,$3829.95,BLUE,07/27/1975
229,Bobby,Wolfe,18,Teono Park,Jovumehe,VA,12263,$2826.92,WHITE,09/26/1973
230,Cynthia,Cooper,20,Amadoc Trail,Jehsiob,AL,34582,$9881.29,RED,08/05/2058
231,Lura,Farmer,43,Bomon Extension,Cikebwi,IN,47611,$8246.08,YELLOW,04/25/2064
232,Christopher,Martin,20,Venek Grove,Iddivlem,NJ,09390,$5193.23,BLUE,02/18/1967
233,Carolyn,Hunter,53,Palul Center,Rupseila,SD,52742,$4504.15,YELLOW,02/06/1912
234,Sylvia,Miles,63,Vupba Path,Hutsovfa,CO,34263,$7561.56,YELLOW,06/08/1937
235,Jeanette,Jimenez,39,Agiso Extension,Fuuzodu,MA,60533,$2506.64,RED,02/01/2020
236,Rosie,Klein,19,Noszu Pass,Nahonu,CA,72288,$6540.46,BLUE,09/11/2069
237,Sophia,Hernandez,33,Vivoc Pass,Tubudo,NJ,09449,$6000.21,RED,04/25/2008
238,Anne,Nelson,19,Efimo View,Aciivzih,TX,56945,$7842.14,GREEN,05/06/2065
239,Bessie,Schwartz,25,Podjur Road,Ditamve,SC,20299,$3196.92,WHITE,04/12/2059
240,Lulu,Warner,31,Oruj Highway,Vawumbu,MD,86432,$7631.22,BLUE,01/04/1932
241,Marvin,Carson,50,Sesmov Circle,Elafimo,OH,85215,$9606.82,GREEN,03/22/1906
242,Cecelia,Smith,46,Ikla Avenue,Tapadkub,RI,46269,$5300.04,YELLOW,01/25/2041
243,Alta,Morgan,56,Ucrar Boulevard,Wodwibvag,GA,80438,$445.90,GREEN,03/09/1945
244,Ethel,Salazar,20,Seja Terrace,Hakuog,WA,03669,$7600.88,WHITE,03/13/1975
245,Jordan,Newton,25,Pozhak River,Gavdinwid,MT,30420,$9230.18,RED,07/17/1939
246,Pauline,Rodriguez,64,Cimi Loop,Luncurehi,ME,77332,$6093.73,RED,10/17/2048
247,Virgie,Owens,57,Ebwej Turnpike,Zimotor,SC,42528,$202.75,RED,06/30/2052
248,Calvin,Thornton,55,Wulaz Square,Godergec,MN,75354,$7945.72,WHITE,07/22/1992
249,Evelyn,West,57,Bibosi Point,Rukimozu,DC,18691,$1179.15,RED,09/22/1976
250,Mittie,Walters,48,Berag Square,Uketibwuw,MS,18289,$5276.42,BLUE,10/12/2059
251,Fanny,Mills,52,Lerrab Plaza,Ruzvulzoj,KY,96663,$5551.04,YELLOW,10/05/2058
252,Lucile,Daniel,64,Zuaza Key,Gowzizeb,LA,50416,$520.07,BLUE,09/15/1930
253,Mabel,Mack,48,Nale Pass,Zoftaopa,KS,14143,$9736.27,RED,07/29/1999
254,Evelyn,Vargas,43,Nugse Park,Uhaepofi,LA,75517,$7623.48,GREEN,10/16/1961
255,Cora,McGuire,53,Kodobi Key,Ullobus,SD,42442,$9268.66,BLUE,06/23/1979
256,Alex,Zimmerman,49,Fosic Drive,Iwleze,TN,87411,$2534.66,RED,03/28/2000
257,Katie,Delgado,28,Wowte Avenue,Icgiboj,AR,71868,$3619.33,RED,10/20/1983
258,Brian,Ford,29,Inag Manor,Horcutaz,SC,35183,$9840.00,GREEN,09/10/1930
259,Hannah,Hines,54,Fezu Avenue,Ufumhu,UT,90488,$2904.72,RED,03/11/2048
260,Nora,Nichols,46,Wizki Square,Garfuli,ME,84494,$7348.39,WHITE,05/29/1952
261,Travis,Alexander,49,Vivew Grove,Dedpaemu,KY,73663,$1906.09,BLUE,11/23/1954
262,Lenora,Henderson,58,Deada Junction,Zavlehvic,NJ,73214,$5908.97,WHITE,08/18/1930
263,Alejandro,Burton,47,Osti Pass,Nukomoke,AL,99464,$9127.55,YELLOW,08/07/1994
264,Ian,Patrick,22,Lenbum Extension,Ugoevat,AR,28090,$7128.90,BLUE,02/07/1987
265,Alex,Hampton,37,Peris Manor,Fuhoicu,OR,90399,$956.21,WHITE,06/08/2044
266,Maggie,Payne,52,Vukce Boulevard,Miwukalul,GA,32687,$4629.50,WHITE,04/29/2033
267,Jay,Garcia,61,Kejzin River,Lefsorju,HI,49832,$4869.49,RED,12/31/2054
